Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
154,31N1675,2,2235,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,31,Car
155,31O0822,3,1350,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,63,Car
156,31O1246,2,1759,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,40,Pedal cycle
157,31P0243,1,745,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,27,Car
158,31P0247,2,836,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,63,Car
159,31P0315,2,925,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,Car
160,31P0683,2,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,66,Car
161,31Q0218,1,825,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,28,Car
162,31Q0748,1,1400,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,21,Car
163,31Q1048,2,1640,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,59,Car
164,31Q1371,1,1021,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,46,Bus or coach (17 or more passenger seats)
165,31R1032,2,1050,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,19,Car
166,31R1032,2,1050,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Male,19,Car
167,31R1032,2,1050,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,19,Car
168,31R1458,2,2015,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,43,Car
169,31R1533,2,2005,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,Car
170,31R1561,2,2122,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,28,Car
171,31S0136,2,254,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,41,Pedal cycle
172,31S0469,2,1023,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,50,Pedal cycle
173,31S1052,1,735,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Pedestrian,Slight,Female,14,Car
174,31S1218,2,1730,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Male,48,Car
175,31S1218,2,1730,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Vehicle or pillion passenger,Slight,Female,36,Car
176,31S1231,1,1740,B,Dry,Darkness: street lights present and lit,Unknown,Pedestrian,Serious,Female,30,Car
177,31S1268,2,1610,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Pedal cycle
178,31S1341,2,1839,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,43,Pedal cycle
179,31S1591,2,1310,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,60,Car
180,31S1678,1,2219,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,20,Taxi/Private hire car
181,31T0239,2,740,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,18,M/cycle 50cc and under
182,31T0267,3,800,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,22,Car
183,31T0287,1,815,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,26,Motorcycle over 50cc and up to 125cc
184,31T0329,2,1940,B,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,47,Pedal cycle
185,31T0338,1,859,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Taxi/Private hire car
186,31T0435,2,1007,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver or rider,Slight,Female,29,Car
187,31T0591,2,1145,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,38,Car
188,31T0680,1,1529,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,26,Car
189,31T1056,2,1540,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,21,Pedal cycle
190,31T1234,4,1711,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,25,Car
191,31T1234,4,1711,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,41,Car
192,31T1234,4,1711,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,23,Car
193,31T1234,4,1711,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,24,Car
194,31T1394,2,1826,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,24,Pedal cycle
195,31T1516,1,1930,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,70,Car
196,31T1712,2,2110,B,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,33,Taxi/Private hire car
197,31U0278,1,430,B,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Serious,Male,35,Goods vehicle 3.5 tonnes mgw and under
198,31U0525,1,1040,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,81,Car
199,31U0881,2,1245,A,Wet / Damp,Daylight: street lights present,Snowing with high winds,Driver or rider,Slight,Male,33,Pedal cycle
200,31U1291,1,1855,Motorway,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Slight,Male,48,Car
201,31V0635,2,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car
202,31V0635,2,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car
203,31V0635,2,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
204,31V0635,2,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
205,31V0635,2,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
206,31V0671,1,1146,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,28,Car
207,31V0877,2,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Pedal cycle
208,31V1126,1,1734,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,64,Car
209,31V1251,1,1535,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Male,20,Taxi/Private hire car
